ProjectCode;BH_ID;Motherhole;HoleType;MaxDepth;DepthFrom;DepthTo;Date;Cr2O3_%;FeO_%;SiO2_%;MgO_%;Al2O3_%;CaO_%;P_%;Au_ICP_ppm;Pt_ICP_ppm;Pd_ICP_ppm;Rh_ICP_ppm;Ir_ICP_ppm;Ru_ICP_ppm;Stratigraphy;Filter
J1120;ZK50;ZK50;borehole;615.8;212.27;212.77;23. Feb 09;37.07;24.31;6.96;9.65;18.36;1.26;0.00;0.01;1.44;0.34;0.24;0.16;0.75;MG2;1
J1103;ZK53;ZK53;borehole;446.25;15.93;16.46;23. Dez 08;34.20;23.29;9.81;9.89;16.70;1.45;0.00;0.01;1.17;0.26;0.23;0.13;0.69;MG2;1
J1108;ZK68;ZK68;borehole;402.32;61.82;62.31;07. Feb 09;37.03;23.52;7.08;9.91;17.87;1.47;0.00;0.01;1.28;0.27;0.24;0.16;0.66;MG2;1
J1114;ZK70;ZK70;borehole;495;130.03;131;23. Feb 09;39.03;24.25;5.31;9.93;17.29;0.61;0.00;0.01;1.27;0.42;0.34;0.14;0.51;MG2;1
J1115;ZK70;ZK70;borehole;495;136.5;136.78;23. Feb 09;40.51;26.81;2.93;9.94;16.01;0.44;0.00;0.01;1.36;0.22;0.21;0.15;0.69;MG2;1
J1114;ZK71;ZK71;borehole;618.11;260.3;260.79;23. Feb 09;34.82;22.94;9.75;11.07;16.66;1.78;0.00;0.01;1.28;0.20;0.25;0.17;0.71;MG2;1
J1115;ZK72;ZK72;borehole;412.6;50.25;50.77;23. Feb 09;33.56;22.71;12.07;10.07;17.36;1.93;0.00;0.01;1.17;0.14;0.24;0.15;0.66;MG2;1
J1107;ZK74;ZK74;borehole;556.75;179.52;179.64;23. Feb 09;36.83;21.39;7.70;10.42;20.33;1.60;0.00;0.01;1.91;0.15;0.23;0.19;0.43;MG2;1
J1117;ZK76;ZK76;borehole;588.18;95.01;95.08;23. Feb 09;38.61;25.10;6.53;9.60;16.58;1.54;0.00;0.01;1.96;0.17;0.23;0.19;0.78;MG2;1
J1118;ZK76;ZK76;borehole;588.18;95.19;95.61;23. Feb 09;33.91;22.26;10.67;9.59;17.84;2.83;0.00;0.01;1.27;0.14;0.19;0.14;0.62;MG2;1
J1107;ZK78;ZK78;borehole;436.65;229.67;230.15;23. Feb 09;37.16;24.43;7.88;9.59;17.35;1.67;0.00;0.01;1.35;0.12;0.21;0.17;0.77;MG2;1
J1109;ZK79;ZK79;borehole;334.65;134.93;135.52;23. Feb 09;34.52;24.24;7.81;9.34;17.72;2.53;0.00;0.01;0.91;0.23;0.29;0.13;0.60;MG2;1
J1105;ZK80;ZK80;borehole;274.65;56.65;57.15;23. Feb 09;33.94;22.09;10.49;9.97;17.65;3.00;0.00;0.01;1.14;0.28;0.22;0.17;0.68;MG2;1
J1104;ZK81;ZK81;borehole;388.6;168.75;169.22;23. Feb 09;36.18;22.79;8.90;9.42;18.06;1.72;0.00;0.01;1.11;0.21;0.22;0.17;0.73;MG2;1
J1109;ZK84;ZK84;borehole;262.65;98.04;98.32;23. Feb 09;47.45;20.68;6.14;12.57;11.12;0.83;0.00;0.01;0.48;0.21;0.17;0.09;0.41;MG2;1
J1108;ZK84;ZK84;borehole;262.65;98.54;99.07;23. Feb 09;21.66;18.35;26.28;19.50;10.39;2.11;0.00;0.01;0.50;0.20;0.14;0.06;0.22;MG2;1
J1095;ZK86;ZK86;borehole;430.6;202.35;202.45;23. Feb 09;31.19;22.29;15.06;11.12;16.79;1.81;0.00;0.01;0.81;0.30;0.21;0.11;0.47;MG2;1
J1095;ZK86;ZK86;borehole;430.6;202.45;202.9;23. Feb 09;33.45;22.80;11.39;9.93;17.53;1.81;0.00;0.01;1.27;0.22;0.19;0.16;0.72;MG2;1
J1475;EL02;EL02;borehole;40.26;29.15;29.28;23. Okt 09;32.14;26.70;14.00;11.27;14.15;1.50;0.00;0.01;2.32;0.68;0.33;0.13;0.32;MG2;1
J1474;EL02;EL02;borehole;40.26;28.33;28.73;23. Okt 09;35.71;26.02;9.04;10.07;15.83;1.66;0.00;0.01;0.70;0.16;0.12;0.10;0.57;MG2;1
J1918;EL027;EL027;borehole;182.14;48.59;48.72;19. Sep 13;34.14;24.88;12.30;11.50;14.70;1.53;0.00;0.01;2.31;0.71;0.35;0.13;0.30;MG2;1
J1917;EL027;EL027;borehole;182.14;47.84;48.28;19. Sep 13;37.87;25.27;6.30;10.00;17.20;1.11;0.00;0.04;1.25;0.39;0.19;0.19;0.74;MG2;1
J1923;EL028;EL028;borehole;174.82;46.13;46.61;19. Sep 13;37.12;23.72;7.80;11.00;16.80;0.64;0.00;0.01;1.41;0.44;0.20;0.19;0.87;MG2;1
J1924;EL028;EL028;borehole;174.82;46.93;47.04;19. Sep 13;34.35;26.25;8.00;10.70;15.60;1.40;0.00;0.01;3.59;0.91;0.52;0.19;0.49;MG2;1
J1917;EL030;EL030;borehole;209.09;85.36;85.81;19. Sep 13;40.62;26.13;2.80;10.40;17.80;0.44;0.00;0.01;1.38;2.13;0.35;0.13;0.50;MG2;1
J1918;EL032;EL032;borehole;267.2;153.94;154.29;19. Sep 13;36.76;19.68;7.00;11.10;19.50;1.52;0.00;0.01;2.09;0.11;0.28;0.19;0.78;MG2;1
J1921;EL033;EL033;borehole;163.74;46.92;47.36;19. Sep 13;37.10;25.35;5.90;10.10;17.30;0.74;0.00;0.01;1.34;0.42;0.17;0.17;0.76;MG2;1
J1922;EL033;EL033;borehole;163.74;47.65;47.82;19. Sep 13;32.03;23.38;11.70;12.10;14.90;1.73;0.00;0.01;2.70;0.81;0.40;0.17;0.43;MG2;1
J1477;EL06;EL06;borehole;34.28;17.89;18.36;23. Okt 09;37.19;27.18;5.57;9.76;17.04;1.02;0.00;0.01;1.47;0.23;0.22;0.18;0.78;MG2;1
J1478;EL06;EL06;borehole;34.28;18.99;19.23;23. Okt 09;32.43;25.06;8.50;10.81;14.74;1.98;0.00;0.01;3.08;0.57;0.44;0.17;0.42;MG2;1
J1475;EL07;EL07;borehole;37.3;10.55;10.9;17. Sep 13;;;;;;;;0.01;0.87;0.14;0.15;0.13;0.53;MG2;1
J1484;EL11;EL11;borehole;49.3;43.05;43.16;23. Okt 09;37.00;24.69;10.67;12.33;14.32;1.00;0.00;0.01;2.90;0.52;0.39;0.17;0.36;MG2;1
J1483;EL11;EL11;borehole;49.3;42.41;42.81;23. Okt 09;41.07;25.87;3.87;10.27;16.84;0.54;0.00;0.01;1.40;0.39;0.25;0.23;0.89;MG2;1
J1474;EL14;EL14;borehole;25.48;19.6;20.18;23. Okt 09;27.81;24.11;12.96;10.75;15.24;2.32;0.00;0.02;3.53;0.83;0.30;0.16;0.47;MG2;1
J1475;EL14;EL14;borehole;25.48;20.35;20.45;23. Okt 09;30.50;23.47;10.33;12.37;14.13;2.28;0.00;0.01;2.76;0.55;0.32;0.12;0.30;MG2;1
J1474;EL16;EL16;borehole;25.48;8.53;8.8;23. Okt 09;31.94;26.45;5.33;9.98;14.97;3.37;0.00;0.01;1.46;0.31;0.18;0.18;0.79;MG2;1
J1475;EL16;EL16;borehole;25.48;8.98;9.24;23. Okt 09;18.70;15.47;14.15;14.47;9.62;8.16;0.00;0.01;2.52;0.37;0.32;0.11;0.24;MG2;1
J1929;EL22;EL22;borehole;300.69;98.42;98.56;19. Sep 13;35.57;21.38;9.00;11.70;15.30;1.80;0.00;0.01;3.59;0.59;0.51;0.17;0.40;MG2;1
J1928;EL22;EL22;borehole;300.69;97.83;98.36;19. Sep 13;36.29;22.44;8.00;11.00;17.60;1.09;0.00;0.01;1.66;0.33;0.33;0.22;0.83;MG2;1
J1924;EL23;EL23;borehole;276.6;149.46;149.9;19. Sep 13;40.13;26.34;3.30;9.80;16.80;0.31;0.00;0.01;1.35;0.42;0.24;0.18;0.66;MG2;1
J1925;EL23;EL23;borehole;276.6;150.33;150.47;19. Sep 13;33.00;24.02;11.20;12.40;14.20;0.94;0.00;0.01;6.76;1.33;0.69;0.21;0.44;MG2;1
J1476;MD01;MD01;borehole;48.89;45.3;45.79;23. Okt 09;38.62;27.89;4.99;10.07;15.97;0.60;0.00;0.01;1.73;0.50;0.23;0.15;0.69;MG2;1
J1920;MD019;MD019;borehole;229.2;92.59;93.07;19. Sep 13;34.79;24.62;9.80;10.60;15.80;1.40;0.00;0.01;1.19;0.44;0.26;0.19;0.90;MG2;1
J1917;MD022;MD022;borehole;247.22;120.08;120.52;19. Sep 13;37.81;25.36;6.00;10.30;16.50;0.83;0.00;0.01;1.44;0.46;0.29;0.21;0.89;MG2;1
J1472;MD13;MD13;borehole;25.45;8.38;8.89;17. Sep 13;31.97;24.37;14.24;11.37;12.90;2.05;0.00;0.01;1.32;0.10;0.14;0.13;0.58;MG2;1
J1481;MD15;MD15;borehole;45.88;43.26;43.93;17. Sep 13;37.49;23.89;7.68;10.10;13.88;2.27;0.00;0.01;0.63;0.20;0.15;0.12;0.54;MG2;1
J1522;MD17;MD17;borehole;645.33;335.08;335.51;17. Sep 13;39.26;24.77;5.71;10.49;15.02;1.27;0.00;0.01;1.53;0.53;0.38;0.17;0.68;MG2;1
J1521;MD17;MD17;borehole;645.33;334.63;334.84;17. Sep 13;35.70;25.51;7.04;10.03;15.00;2.59;0.00;0.01;1.21;0.47;0.34;0.17;0.71;MG2;1
J1493;MD18;MD18;borehole;524.83;375.15;375.57;17. Sep 13;34.86;28.24;6.75;10.33;14.91;1.29;0.00;0.01;1.13;0.42;0.32;0.18;0.75;MG2;1
J1480;RD16;RD16;borehole;50.32;47.72;48.26;13. Jan 10;33.85;24.12;11.35;10.80;14.14;2.22;0.11;0.01;1.25;0.44;0.22;0.11;0.60;MG2;1
J1478;S100B;S100B;borehole;142.19;60.8;61.6;17. Sep 13;35.02;24.40;10.82;9.99;18.03;2.10;0.00;0.01;1.05;0.27;0.25;0.16;0.61;MG2;1
J1476;S100C;S100C;borehole;143.03;75.03;75.6;17. Sep 13;34.45;24.53;9.79;9.84;17.67;1.96;0.00;0.01;2.04;0.27;0.30;0.20;0.72;MG2;1
J1111;SC01;SC01;borehole;274.5;45.79;46.16;17. Sep 13;33.46;23.99;11.65;9.88;17.50;2.23;0.00;0.01;1.90;0.44;0.26;0.16;0.57;MG2;1
J1110;SC02;SC02;borehole;280.7;53.46;53.91;17. Sep 13;35.67;25.60;7.78;9.79;17.52;1.25;0.00;0.01;1.22;0.23;0.21;0.19;0.71;MG2;1
J1111;SC03;SC03;borehole;289.65;47;47.5;17. Sep 13;35.47;24.91;7.86;9.85;17.96;1.65;0.00;0.01;1.36;0.29;0.23;0.18;0.67;MG2;1
J1121;SC08;SC08;borehole;645.05;229.29;229.92;17. Sep 13;34.47;24.59;9.52;9.85;17.58;1.86;0.00;0.01;1.12;0.23;0.21;0.17;0.66;MG2;1
J1128;SC26;SC26;borehole;559.27;138.61;138.87;17. Sep 13;21.09;20.48;24.40;10.40;16.39;4.10;0.00;0.01;1.34;0.22;0.25;0.13;0.44;MG2;1
J1112;SC34;SC34;borehole;463.7;53.38;54.05;08. Sep 09;43.54;22.43;8.47;9.61;15.26;1.01;0.01;0.01;0.98;0.29;0.19;0.13;0.59;MG2;1
J1142;SC42;SC42;borehole;577.5;160.8;160.95;19. Sep 13;;;;;;;;0.01;1.49;0.34;0.29;0.20;1.22;MG2;1
J1129;SC45;SC45;borehole;652;217.77;217.9;19. Sep 13;;;;;;;;0.01;1.11;0.29;0.30;0.15;0.69;MG2;1
J1133;SC53;SC53;borehole;645;221.59;221.92;20. Sep 13;;;;;;;;0.01;1.56;0.33;0.19;0.17;0.70;MG2;1
J1131;SC55;SC55;borehole;532.4;134.52;134.99;20. Sep 13;;;;;;;;0.01;1.16;0.30;0.20;0.14;0.64;MG2;1
J1132;SC57;SC57;borehole;556.75;139.9;141.5;20. Sep 13;;;;;;;;0.01;1.16;0.30;0.21;0.16;0.65;MG2;1
J1115;SC63;SC63;borehole;333.75;92.24;92.49;20. Sep 13;;;;;;;;0.01;1.56;1.03;0.46;0.17;0.61;MG2;1
J1126;SC67;SC67;borehole;508.75;83.86;83.95;20. Sep 13;;;;;;;;0.01;0.85;0.30;0.23;0.10;0.56;MG2;1
J1478;ZK117;ZK117;borehole;33.98;29.74;30.28;17. Sep 13;36.19;25.83;5.85;8.48;15.00;3.46;0.00;0.01;1.12;0.20;0.18;0.16;0.65;MG2;1
J1472;ZK122;ZK122;borehole;21.68;19.75;20.28;17. Sep 13;34.04;23.35;7.42;7.90;15.41;4.08;0.00;0.01;0.87;0.15;0.24;0.12;0.58;MG2;1
J1475;ZK123;ZK123;borehole;25.48;18.95;19.28;17. Sep 13;37.31;24.51;4.73;9.83;15.58;4.25;0.00;0.01;0.98;0.19;0.18;0.13;0.63;MG2;1
J1473;ZK125;ZK125;borehole;20.7;18.74;19.27;17. Sep 13;29.87;22.09;8.58;7.45;14.05;7.08;0.00;0.01;1.22;0.10;0.20;0.13;0.57;MG2;1
J1482;ZK126;ZK126;borehole;40.35;31.52;32;17. Sep 13;40.70;28.11;5.29;7.59;12.22;2.10;0.00;0.01;1.83;0.15;0.29;0.19;0.91;MG2;1
J1480;ZK128;ZK128;borehole;48.53;47.95;48.44;17. Sep 13;38.54;26.90;5.27;9.38;16.80;0.91;0.00;0.01;2.19;0.16;0.31;0.18;0.73;MG2;1
J1473;ZK129;ZK129;borehole;37.93;18.52;19.08;17. Sep 13;33.34;23.45;7.33;8.11;15.28;5.28;0.00;0.01;1.12;0.11;0.13;0.12;0.60;MG2;1
J1473;ZK130;ZK130;borehole;25.3;3;3.77;17. Sep 13;37.90;24.56;7.50;8.98;17.34;1.43;0.00;0.01;2.57;0.15;0.25;0.14;0.61;MG2;1
J1478;ZK132;ZK132;borehole;37.15;17.19;17.68;17. Sep 13;37.59;26.35;6.99;8.67;15.45;1.33;0.00;0.01;1.09;0.20;0.08;0.11;0.56;MG2;1
J1926;ZK134;ZK134;borehole;284.54;126.67;127.09;19. Sep 13;33.19;23.83;8.60;10.20;17.60;1.77;0.00;0.01;1.05;0.15;0.33;0.15;0.60;MG2;1
J1927;ZK135;ZK135;borehole;265.99;107.96;108.1;19. Sep 13;30.38;17.33;11.80;12.40;22.60;2.40;0.00;0.01;1.31;0.11;0.23;0.17;0.39;MG2;1
J1917;ZK135;ZK135;borehole;265.99;107.96;108.1;19. Sep 13;29.69;17.48;12.70;13.40;21.20;2.13;0.00;0.01;1.03;0.12;0.23;0.16;0.38;MG2;1
J1928;ZK135;ZK135;borehole;265.99;111.14;111.18;19. Sep 13;32.76;23.30;13.90;10.50;16.20;2.07;0.00;0.01;0.53;0.20;0.19;0.09;0.41;MG2;1
J1929;ZK135;ZK135;borehole;265.99;111.23;111.63;19. Sep 13;37.48;24.21;9.10;9.50;16.70;1.42;0.00;0.01;1.45;0.17;0.23;0.16;0.68;MG2;1
J1927;ZK136;ZK136;borehole;281.16;110.34;110.55;19. Sep 13;38.35;25.13;6.80;9.80;16.90;0.96;0.00;0.01;1.80;0.29;0.23;0.19;0.78;MG2;1
J1926;ZK136;ZK136;borehole;281.16;109.97;110.2;19. Sep 13;38.28;23.99;7.90;9.20;17.50;1.50;0.00;0.01;0.89;0.37;0.26;0.14;0.62;MG2;1
J1920;ZK142;ZK142;borehole;247.8;110.36;110.85;19. Sep 13;39.95;25.92;4.60;9.80;16.60;0.85;0.00;0.01;1.25;0.33;0.22;0.17;0.64;MG2;1
J1920;ZK143;ZK143;borehole;193.82;32.35;32.81;19. Sep 13;36.92;23.77;8.00;9.50;17.90;1.47;0.00;0.01;0.86;0.18;0.17;0.15;0.62;MG2;1
J1914;ZK143;ZK143;borehole;193.82;32.35;32.81;19. Sep 13;37.14;23.66;8.00;9.30;18.00;1.53;0.00;0.01;1.16;0.13;0.18;0.15;0.59;MG2;1
J1919;ZK144;ZK144;borehole;298.78;135.63;135.92;19. Sep 13;35.69;23.62;9.40;10.40;16.60;1.20;0.00;0.01;1.66;0.10;0.24;0.22;0.77;MG2;1
J1921;ZK146;ZK146;borehole;286.32;118.1;118.59;19. Sep 13;36.69;26.21;6.80;8.60;16.60;1.48;0.00;0.01;0.98;0.23;0.21;0.16;0.65;MG2;1
J1117;ZK37;ZK37;borehole;445.5;22.14;22.25;04. Okt 13;;;;;;;;0.01;2.23;0.24;0.32;0.24;1.23;MG2;1
J1097;ZK40;ZK40;borehole;112.54;14.76;15.29;17. Sep 13;32.98;23.55;11.18;10.01;17.70;2.09;0.00;0.01;1.09;0.24;0.22;0.16;0.61;MG2;1
J1119;ZK43;ZK43;borehole;476.55;22.59;23.1;17. Sep 13;35.23;24.60;9.51;10.35;17.31;1.53;0.00;0.01;1.20;0.26;0.25;0.19;0.69;MG2;1
J1129;ZK44;ZK44;borehole;536.8;176.17;176.34;17. Sep 13;34.43;25.62;10.20;10.00;18.20;1.82;0.00;0.01;0.82;0.20;0.26;0.15;0.61;MG2;1
J1124;ZK48;ZK48;borehole;511.4;130.69;131.15;17. Sep 13;36.80;25.27;6.74;9.82;17.26;1.40;0.00;0.01;1.52;0.24;0.27;0.20;0.74;MG2;1
J1122;ZK79;ZK79;borehole;334.65;135.03;135.08;07. Okt 13;;;;;;;;0.01;0.97;0.18;0.30;0.16;0.70;MG2;1
J1123;ZK79;ZK79;borehole;334.65;135.11;135.52;07. Okt 13;;;;;;;;0.01;1.24;0.14;0.22;0.20;0.87;MG2;1
J1121;ZK39;ZK39;borehole;498.2;113.6;113.81;11. Aug 08;36.00;24.67;8.12;9.72;17.86;1.86;0.00;0.01;0.71;0.12;0.20;0.12;0.55;MG2;1
J1476;EL02;EL02;borehole;40.26;19.66;20.67;23. Okt 09;33.96;26.61;9.84;9.63;16.05;2.08;0.01;0.01;1.31;0.59;0.40;0.16;0.60;MG3;1
J1477;EL02;EL02;borehole;40.26;20.83;20.89;23. Okt 09;25.05;23.76;21.07;12.34;14.17;1.78;0.00;0.01;1.44;0.36;0.38;0.09;0.31;MG3;1
J1919;EL027;EL027;borehole;182.14;40.32;40.9;19. Sep 13;35.35;25.57;5.70;8.40;16.20;2.98;0.01;0.01;0.99;0.38;0.33;0.15;0.56;MG3;1
J1925;EL028;EL028;borehole;174.82;37.13;37.91;19. Sep 13;29.84;21.90;14.40;10.90;17.70;2.64;0.00;0.01;1.24;0.65;0.32;0.14;0.51;MG3;1
J1918;EL030;EL030;borehole;209.09;78.75;78.98;19. Sep 13;36.18;26.00;6.80;10.40;17.70;1.28;0.00;0.01;1.41;0.84;0.41;0.17;0.69;MG3;1
J1919;EL030;EL030;borehole;209.09;79.32;79.82;19. Sep 13;39.95;26.26;3.10;10.20;17.40;0.47;0.00;0.01;1.26;0.47;0.33;0.14;0.54;MG3;1
J1912;EL030;EL030;borehole;209.09;79.32;79.82;19. Sep 13;38.86;25.73;5.30;9.40;17.00;1.12;0.00;0.01;1.33;0.32;0.22;0.18;0.75;MG3;1
J1919;EL032;EL032;borehole;267.2;151.48;152.07;19. Sep 13;37.58;19.47;7.00;11.10;20.10;1.49;0.00;0.01;1.44;0.14;0.34;0.15;0.62;MG3;1
J1923;EL033;EL033;borehole;163.74;40.02;40.18;19. Sep 13;28.99;22.91;15.20;11.40;16.00;2.09;0.00;0.01;2.26;1.06;0.61;0.19;0.71;MG3;1
J1924;EL033;EL033;borehole;163.74;40.31;40.59;19. Sep 13;34.65;26.60;6.80;9.20;18.60;1.38;0.00;0.01;0.93;0.36;0.25;0.14;0.56;MG3;1
J1925;EL033;EL033;borehole;163.74;40.65;41.31;19. Sep 13;32.02;23.66;10.70;9.80;18.60;1.97;0.00;0.01;1.25;0.31;0.26;0.11;0.37;MG3;1
J1478;EL05;EL05;borehole;57.42;51.68;51.83;23. Okt 09;31.41;26.10;10.35;10.51;18.05;1.93;0.00;0.01;2.52;1.34;0.70;0.21;0.79;MG3;1
J1479;EL05;EL05;borehole;57.42;51.9;52.64;23. Okt 09;35.12;28.17;6.02;10.21;16.29;0.99;0.00;0.01;1.13;0.35;0.30;0.13;0.50;MG3;1
J1480;EL06;EL06;borehole;34.28;12.99;13.38;23. Okt 09;37.58;28.67;3.83;9.30;15.69;1.54;0.00;0.01;1.48;0.42;0.36;0.15;0.53;MG3;1
J1479;EL06;EL06;borehole;34.28;12.56;12.8;23. Okt 09;31.33;26.16;10.84;10.14;17.22;1.66;0.00;0.01;2.29;1.49;0.59;0.21;0.72;MG3;1
J1486;EL11;EL11;borehole;49.3;33.6;33.66;23. Okt 09;37.97;26.73;6.57;10.43;16.46;0.62;0.00;0.04;1.89;0.21;0.27;0.18;0.66;MG3;1
J1487;EL11;EL11;borehole;49.3;34.63;34.87;23. Okt 09;35.99;25.81;7.99;11.06;15.62;1.29;0.00;0.01;0.40;0.11;0.14;0.08;0.37;MG3;1
J1490;EL11;EL11;borehole;49.3;36.31;36.64;23. Okt 09;31.30;23.59;11.37;11.83;15.15;1.52;0.00;0.01;1.73;0.60;0.50;0.20;0.65;MG3;1
J1488;EL11;EL11;borehole;49.3;34.99;35.12;23. Okt 09;37.90;26.79;6.06;10.75;16.66;0.87;0.00;0.01;0.73;0.08;0.22;0.12;0.55;MG3;1
J1489;EL11;EL11;borehole;49.3;35.73;35.91;23. Okt 09;39.48;27.33;4.43;9.79;16.93;0.84;0.00;0.01;2.16;0.29;0.49;0.23;0.68;MG3;1
J1485;EL11;EL11;borehole;49.3;33.03;33.47;23. Okt 09;41.44;26.50;3.71;10.17;16.97;0.74;0.00;0.01;1.34;0.17;0.42;0.25;0.93;MG3;1
J1491;EL11;EL11;borehole;49.3;37.04;37.72;23. Okt 09;34.97;25.37;7.73;10.90;15.16;1.65;0.00;0.03;1.62;0.31;0.39;0.19;0.59;MG3;1
J1476;EL14;EL14;borehole;25.48;11.2;12.1;23. Okt 09;35.29;26.60;5.83;9.91;17.19;1.30;0.00;0.01;1.57;0.48;0.35;0.14;0.53;MG3;1
J1477;MD01;MD01;borehole;48.89;36.11;37.09;23. Okt 09;33.17;26.74;8.96;10.26;16.45;1.37;0.01;0.01;1.42;0.66;0.38;0.14;0.57;MG3;1
J1478;MD01;MD01;borehole;48.89;37.16;37.23;23. Okt 09;26.67;24.22;15.39;9.76;16.48;2.65;0.00;0.01;2.47;0.52;0.52;0.12;0.43;MG3;1
J1922;MD019;MD019;borehole;229.2;84.42;85.16;19. Sep 13;31.83;23.26;11.40;11.80;17.40;1.42;0.00;0.01;1.13;0.44;0.36;0.14;0.58;MG3;1
J1921;MD019;MD019;borehole;229.2;84;84.09;19. Sep 13;32.13;24.23;11.70;10.20;16.40;1.96;0.00;0.01;3.42;1.21;1.13;0.31;1.11;MG3;1
J1919;MD022;MD022;borehole;247.22;110.26;111.3;19. Sep 13;33.39;23.98;10.40;10.20;16.80;1.92;0.00;0.01;1.74;0.78;0.55;0.17;0.62;MG3;1
J1918;MD022;MD022;borehole;247.22;111.51;111.54;19. Sep 13;29.06;23.23;13.40;9.50;18.10;2.71;0.00;0.01;1.34;0.23;0.30;0.07;0.19;MG3;1
J1482;MD15;MD15;borehole;45.88;31.86;32.15;17. Sep 13;0.98;12.05;51.53;23.54;4.07;3.35;0.00;0.01;0.05;0.01;0.01;0.01;0.01;MG3;1
J1523;MD17;MD17;borehole;645.33;328.06;329.09;17. Sep 13;40.10;25.96;4.97;9.82;17.15;0.58;0.00;0.01;1.42;0.58;0.45;0.18;0.65;MG3;1
J1494;MD18;MD18;borehole;524.83;369.97;370.81;17. Sep 13;33.82;27.75;7.74;10.01;16.85;1.71;0.00;0.01;1.12;0.46;0.32;0.14;0.57;MG3;1
J1481;RD16;RD16;borehole;50.32;38.02;38.99;13. Jan 10;32.16;18.03;16.10;10.75;15.10;2.63;0.03;0.03;1.28;1.12;0.31;0.09;0.37;MG3;1
J1480;S100B;S100B;borehole;142.19;48.21;48.27;17. Sep 13;29.81;22.88;15.79;8.26;18.05;3.74;0.00;0.01;1.76;0.45;0.45;0.12;0.37;MG3;1
J1479;S100B;S100B;borehole;142.19;47.8;47.97;17. Sep 13;29.61;23.76;17.09;10.42;15.72;2.94;0.00;0.01;0.75;0.35;0.35;0.13;0.49;MG3;1
J1482;S100B;S100B;borehole;142.19;48.84;49.27;17. Sep 13;30.51;23.36;15.38;9.48;17.48;3.11;0.00;0.01;1.11;0.37;0.30;0.09;0.30;MG3;1
J1481;S100B;S100B;borehole;142.19;48.37;48.68;17. Sep 13;30.42;23.72;15.86;9.43;17.00;3.05;0.00;0.01;1.00;0.28;0.33;0.07;0.24;MG3;1
J1477;S100C;S100C;borehole;143.03;64.31;65.2;17. Sep 13;32.48;24.26;13.19;9.94;16.90;2.58;0.00;0.01;1.06;0.39;0.34;0.13;0.50;MG3;1
J1106;SC01;SC01;borehole;274.5;40.34;41.15;17. Feb 09;31.78;23.89;12.89;9.61;17.37;2.57;0.00;0.01;0.90;0.30;0.23;0.07;0.29;MG3;1
J1105;SC01;SC01;borehole;274.5;39.99;40.29;23. Dez 08;35.81;23.88;10.07;9.24;16.42;1.69;0.00;0.01;2.07;1.24;0.53;0.16;0.61;MG3;1
J1105;SC02;SC02;borehole;280.7;41.94;42.06;15. Jan 09;23.52;19.40;24.68;13.95;13.04;2.28;0.00;0.01;0.56;0.37;0.15;0.06;0.20;MG3;1
J1107;SC02;SC02;borehole;280.7;41.49;41.68;15. Jan 09;24.16;19.45;24.07;14.20;13.58;2.02;0.00;0.01;1.22;0.76;0.35;0.11;0.46;MG3;1
J1104;SC02;SC02;borehole;280.7;38.38;39.08;15. Jan 09;33.21;23.15;11.49;10.63;16.51;1.67;0.00;0.01;2.68;1.75;0.73;0.25;0.87;MG3;1
J1106;SC02;SC02;borehole;280.7;42.79;43.65;15. Jan 09;35.31;25.24;8.85;9.07;17.18;1.27;0.00;0.01;1.09;0.40;0.28;0.09;0.39;MG3;1
J1107;SC03;SC03;borehole;289.65;36.4;36.59;15. Jan 09;36.12;24.81;6.77;9.11;17.81;1.03;0.00;0.01;0.80;0.36;0.25;0.10;0.52;MG3;1
J1108;SC03;SC03;borehole;289.65;37.14;37.54;15. Jan 09;36.00;24.61;7.32;9.37;18.07;1.05;0.00;0.01;2.27;0.56;0.33;0.13;0.37;MG3;1
J1109;SC03;SC03;borehole;289.65;36.59;37.14;15. Jan 09;35.03;23.70;8.86;9.92;18.05;1.33;0.00;0.01;0.85;0.41;0.27;0.09;0.48;MG3;1
J1117;SC04;SC04;borehole;523;37.71;38.18;23. Dez 08;35.98;24.50;7.98;10.03;18.52;1.73;0.00;0.01;1.42;0.85;0.37;0.11;0.51;MG3;1
J1118;SC04;SC04;borehole;523;38.29;39.14;23. Dez 08;33.45;22.97;9.73;9.92;19.07;1.88;0.00;0.01;1.08;0.54;0.30;0.10;0.41;MG3;1
J1111;SC05;SC05;borehole;486.04;205.24;205.48;15. Jan 09;35.73;23.67;9.71;11.43;15.78;0.60;0.00;0.02;1.99;1.46;0.55;0.15;0.73;MG3;1
J1112;SC05;SC05;borehole;486.04;205.7;206.35;15. Jan 09;42.38;24.96;3.59;10.46;16.03;0.13;0.00;0.01;1.45;0.83;0.41;0.13;0.62;MG3;1
J1119;SC06;SC06;borehole;639.35;216.87;218.26;23. Dez 08;33.37;22.32;13.04;9.80;16.56;2.21;0.00;0.01;1.10;0.39;0.30;0.09;0.41;MG3;1
J1112;SC07;SC07;borehole;593.73;185.18;186.38;01. Jul 08;31.64;23.49;13.73;10.06;17.10;2.72;0.00;0.01;1.28;0.56;0.35;0.14;0.44;MG3;1
J1116;SC08;SC08;borehole;645.05;219.49;220.65;23. Dez 08;32.59;23.39;12.40;9.51;17.06;1.95;0.00;0.02;1.31;0.65;0.31;0.12;0.37;MG3;1
