ProjectCode;BH_ID;Motherhole;HoleType;MaxDepth;DepthFrom;DepthTo;Date;Cr2O3_%;FeO_%;SiO2_%;MgO_%;Al2O3_%;CaO_%;P_%;Au_ICP_ppm;Pt_ICP_ppm;Pd_ICP_ppm;Rh_ICP_ppm;Ir_ICP_ppm;Ru_ICP_ppm;Stratigraphy;Filter
J1472;EL07;EL07;borehole;37.3;23.63;24.27;23. Okt 09;40.05;26.22;4.01;11.18;15.64;0.49;0.00;0.01;0.69;0.23;0.21;0.14;0.51;MG1;1
J1472;EL15;EL15;borehole;16.31;10.5;11.5;23. Okt 09;29.92;23.94;8.48;10.96;13.25;4.17;0.00;0.01;0.67;0.13;0.17;0.10;0.46;MG1;1
J1927;EL22;EL22;borehole;300.69;111.06;111.8;19. Sep 13;40.16;23.60;4.00;10.80;17.50;0.73;0.00;0.01;0.80;0.32;0.26;0.16;0.68;MG1;1
J1923;EL23;EL23;borehole;276.6;164.19;164.9;19. Sep 13;38.16;24.20;6.30;12.00;15.60;0.52;0.00;0.01;0.80;0.24;0.17;0.13;0.55;MG1;1
J1913;MD019;MD019;borehole;229.2;108.13;108.7;19. Sep 13;35.99;23.62;7.40;11.80;17.60;1.07;0.00;0.01;0.62;0.23;0.22;0.13;0.59;MG1;1
J1919;MD019;MD019;borehole;229.2;108.13;108.7;19. Sep 13;37.53;24.80;6.90;11.00;16.10;0.89;0.00;0.01;0.62;0.38;0.22;0.12;0.58;MG1;1
J1915;MD020;MD020;borehole;124.24;11.75;12.42;19. Sep 13;33.23;22.01;11.90;11.40;14.10;2.70;0.00;0.01;0.47;0.12;0.15;0.09;0.38;MG1;1
J1915;MD021;MD021;borehole;133.74;17.75;18.57;19. Sep 13;39.36;24.22;5.40;10.80;15.30;1.19;0.00;0.01;0.70;0.27;0.22;0.14;0.64;MG1;1
J1916;MD022;MD022;borehole;247.22;135.95;136.57;19. Sep 13;37.92;24.56;6.00;11.60;15.80;1.14;0.00;0.01;0.64;0.24;0.22;0.14;0.60;MG1;1
J1472;MD04;MD04;borehole;34.33;10.78;11.4;23. Okt 09;38.25;26.65;6.96;11.10;14.75;0.94;0.00;0.01;0.72;0.25;0.24;0.13;0.60;MG1;1
